Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,220.279999,220.619995,216.350006,217.389999,215.115952,3990400
2022-12-02,214.830002,219.860001,214.720001,219.080002,216.788269,2194300
2022-12-05,217.750000,218.589996,215.199997,215.600006,213.344681,3077800
2022-12-06,216.270004,216.740005,211.360001,213.190002,210.959885,2518400
2022-12-07,213.970001,214.089996,212.009995,213.449997,211.217163,2983500
2022-12-08,213.850006,214.589996,212.210007,213.350006,211.118210,2169500
2022-12-09,213.350006,214.490005,211.399994,211.630005,209.416199,2260000
2022-12-12,212.160004,214.589996,211.059998,214.500000,212.256165,3347000
2022-12-13,219.550003,219.960007,213.139999,214.960007,212.711365,3449800
2022-12-14,216.220001,217.869995,213.050003,214.720001,212.473877,2545900
2022-12-15,212.889999,213.720001,208.029999,208.970001,206.784027,3221400
2022-12-16,207.350006,210.289993,206.229996,209.740005,207.545975,7128500
2022-12-19,209.259995,212.330002,208.369995,209.410004,207.219437,3089800
2022-12-20,209.570007,212.759995,209.220001,211.490005,209.277664,1875900
2022-12-21,212.960007,215.300003,212.750000,215.100006,212.849899,2625200
2022-12-22,214.339996,214.610001,208.990005,212.309998,210.089096,2220000
2022-12-23,212.000000,214.710007,211.460007,213.869995,211.632767,1300700
2022-12-27,213.899994,215.779999,213.710007,214.889999,212.642090,1461000
2022-12-28,215.929993,216.509995,212.009995,212.190002,209.970352,1607300
2022-12-29,213.089996,215.250000,212.770004,214.750000,212.503571,1879900
2022-12-30,213.979996,214.500000,211.929993,214.300003,212.058273,1600000
2023-01-03,215.149994,215.149994,212.220001,214.300003,212.058273,2219300
2023-01-04,208.500000,211.240005,207.320007,210.039993,207.842819,3860300
2023-01-05,208.479996,208.809998,204.059998,204.470001,202.331100,4057500
2023-01-06,206.470001,211.059998,205.869995,210.270004,208.070419,4056300
2023-01-09,210.270004,213.630005,209.539993,210.669998,208.466248,2627400
2023-01-10,209.500000,211.449997,209.500000,211.339996,209.129227,1775700
2023-01-11,211.979996,212.910004,210.009995,212.300003,210.079193,2919500
2023-01-12,212.850006,217.220001,212.380005,215.979996,213.720688,2964200
